Word (he),Word (en),Root,Part of speech,Binyan,Meaning
אוֹבֶךְ,ovech,"['א', 'ב', 'ך']",Noun,"kotel pattern, masculine","haze, haziness"
אֵבֶל,evel,"['א', 'ב', 'ל']",Noun,"ketel pattern, masculine",mourning
לֶאֱבוֹל,le'evol,"['א', 'ב', 'ל']",Verb,pa'al,"to grieve, to mourn (על) (lit.)"
אֲבָל,aval,[],Conjunction,"but, however",
לְהִתְאַבֵּל,lehit'abel,"['א', 'ב', 'ל']",Verb,hitpa'el,"to mourn, to grieve (על)"
לְהִתְאַבֵּן,lehit'aben,"['א', 'ב', 'ן']",Verb,hitpa'el,to turn into stone
אֶבֶן,even,"['א', 'ב', 'ן']",Noun,"ketel pattern, feminine",stone
מְאוּבָּן,me'uban,"['א', 'ב', 'ן']",Noun,"mekuttal pattern, masculine",fossil
לְאַבֵּן,le'aben,"['א', 'ב', 'ן']",Verb,pi'el,"to petrify, to turn to stone; to immobilize, to stun"
לְהַאֲבִיס,leha'avis,"['א', 'ב', 'ס']",Verb,hif'il,to feed (livestock)
הַאֲבָסָה,ha'avasa,"['א', 'ב', 'ס']",Noun,"haktala pattern, feminine",feeding (animals)
לְהֵיאָבֵק,lehe'avek,"['א', 'ב', 'ק']",Verb,nif'al,"to struggle, to wrestle"
אִיבּוּק,ibuk,"['א', 'ב', 'ק']",Noun,"kittul pattern, masculine",֔powdering; dusting
מַאֲבָק,ma'avak,"['א', 'ב', 'ק']",Noun,"miktal pattern, masculine","strife, struggle, fight"
אָבָק,avak,"['א', 'ב', 'ק']",Noun,"katal pattern, masculine","dust, powder"
לְהִתְאַבֵּק,lehit'abek,"['א', 'ב', 'ק']",Verb,hitpa'el,"to wrestle, to struggle"
לְהִתְאַבֵּק,lehit'abek,"['א', 'ב', 'ק']",Verb,hitpa'el,to become dusty
מְאוּבָּק,me'ubak,"['א', 'ב', 'ק']",Adjective,mekuttal pattern,dusty
לְאַבֵּק,le'abek,"['א', 'ב', 'ק']",Verb,pi'el,"to powder, to grind to dust"
לְהַאֲבִיק,leha'avik,"['א', 'ב', 'ק']",Verb,hif'il,to pollinate
אַבִּיר,abir,"['א', 'ב', 'ר']",Noun,"kattil pattern, masculine",knight; nobleman
אֶבְרָה,evra,"['א', 'ב', 'ר']",Noun,"kitla pattern, feminine","pinion, wing (lit.)"
אַגַּב,agav,[],Adverb,"by the way, incidentally; while, during",
אִיגּוּד,igud,"['א', 'ג', 'ד']",Noun,"kittul pattern, masculine","union, organisation"
הִתְאַגְּדוּת,hit'agdut,"['א', 'ג', 'ד']",Noun,"hitkattlut pattern, feminine","union, corporation"
לֶאֱגוֹד,le'egod,"['א', 'ג', 'ד']",Verb,pa'al,"to bind together, to tie up (lit.); to unite"
אוּגְדָּה,ugda,"['א', 'ג', 'ד']",Noun,"kutla pattern, feminine",division (army)
אֲגוּדָּה,aguda,"['א', 'ג', 'ד']",Noun,"ktulla pattern, feminine","union, association"
לְהִתְאַגֵּד,lehit'aged,"['א', 'ג', 'ד']",Verb,hitpa'el,"to unite, to form a union"
אֶגֶד,eged,"['א', 'ג', 'ד']",Noun,"ketel pattern, masculine","bundle, bunch (lit.); bandage"
אֲגִידָה,agida,"['א', 'ג', 'ד']",Noun,"ktila pattern, feminine","binding, bundling (dated)"
אוֹגֵד,oged,"['א', 'ג', 'ד']",Noun,"kotel pattern, masculine",copula (grammar)
מוֹאֳגָד,mo'ogad,"['א', 'ג', 'ד']",Adjective,muktal pattern,incorporated
לְאַגֵּד,le'aged,"['א', 'ג', 'ד']",Verb,pi'el,"to unite, to join together"
לְהֵיאָגֵד,lehe'aged,"['א', 'ג', 'ד']",Verb,nif'al,"to be bound together, united"
תַּאֲגִיד,ta'agid,"['א', 'ג', 'ד']",Noun,"taktil pattern, masculine",corporation
אֱגוֹז,egoz,[],Noun,masculine,nut (food)
אֲגַם,agam,"['א', 'ג', 'ם']",Noun,"ktal pattern, masculine",lake
אַגָּן,agan,[],Noun,"basin (geography); bowl, basin; pelvis",
אַגָּס,agas,[],Noun,masculine,pear; pear tree
אִיגּוּף,iguf,"['א', 'ג', 'ף']",Noun,"kittul pattern, masculine","outflanking, flanking"
לֶאֱגוֹף,le'egof,"['א', 'ג', 'ף']",Verb,pa'al,to outflank
אֲגַף,agaf,"['א', 'ג', 'ף']",Noun,"ktal pattern, masculine","branch, department; flank"
לְאַגֵּף,le'agef,"['א', 'ג', 'ף']",Verb,pi'el,to outflank
אִיגֶּרֶת,igeret,"['א', 'ג', 'ר']",Noun,"kittelet pattern, feminine","note, message"
אֶגְרוֹן,egron,"['א', 'ג', 'ר']",Noun,"kitlon pattern, masculine","thesaurus, dictionary (dated)"
מַאֲגָר,ma'agar,"['א', 'ג', 'ר']",Noun,"miktal pattern, masculine","reserve, stockpile; reservoir"
לֶאֱגוֹר,le'egor,"['א', 'ג', 'ר']",Verb,pa'al,"to stockpile, to store"
לְהֵיאָגֵר,lehe'ager,"['א', 'ג', 'ר']",Verb,nif'al,"to be collected, to accumulate"
אַגְרָה,agra,"['א', 'ג', 'ר']",Noun,"katla pattern, feminine","fee, toll"
אֲגַרְטָל,agartal,[],Noun,masculine,🏺 vase
לְהִתְאַגְרֵף,lehit'agref,"['א', 'ג', 'ר', 'ף']",Verb,hitpa'el,to box (to fight)
אִגְרוּף,igruf,"['א', 'ג', 'ר', 'ף']",Noun,"kittul pattern, masculine",boxing; making a fist
אָדִיב,adiv,"['א', 'ד', 'ב']",Adjective,katil pattern,"polite, courteous, obliging"
אַדְווָה,adva,[],Noun,feminine,"ripple, wavelet"
אָדוֹן,adon,[],Noun,masculine,"mister, Mr.; master, lord"
לְהִתְאַדּוֹת,lehit'adot,"['א', 'ד', 'ה']",Verb,hitpa'el,to evaporate; to disappear
אֵד,ed,"['א', 'ד', 'ה']",Noun,masculine,"vapour, steam (usually in pl.)"
אִידּוּי,iduy,"['א', 'ד', 'ה']",Noun,"kittul pattern, masculine",vaporization; simmering
הִתְאַדּוּת,hit'adut,"['א', 'ד', 'ה']",Noun,"hitkattlut pattern, feminine",evaporation
לְאַדּוֹת,le'adot,"['א', 'ד', 'ה']",Verb,pi'el,"to vaporize, to evaporate; to simmer, to poach"
מַאֲדִים,ma'adim,"['א', 'ד', 'ם']",Noun,"maktil pattern, masculine",Mars (the planet)
אוֹדֶם,odem,"['א', 'ד', 'ם']",Noun,"kotel pattern, masculine",ruby (gem)
אֲדַמְדַּם,adamdam,"['א', 'ד', 'ם']",Adjective,ktaltal pattern,reddish
אַדֶּמֶת,ademet,"['א', 'ד', 'ם']",Noun,"kattelet pattern, feminine","rubella, German measles"
אָדָם,adam,"['א', 'ד', 'ם']",Noun,"katal pattern, masculine","man, person, human being (also בֶּן אָדָם, plural: בְּנֵי אָדָם)"
אָדוֹם,adom,"['א', 'ד', 'ם']",Adjective,katol pattern,red
אֲדָמָה,adama,"['א', 'ד', 'ם']",Noun,"ktala pattern, feminine","earth, soil, ground; land"
לְהַאֲדִים,leha'adim,"['א', 'ד', 'ם']",Verb,hif'il,"to become red, to redden, to blush"
אוֹדֶם,odem,"['א', 'ד', 'ם']",Noun,"kotel pattern, masculine","red, red colour; 💄 lipstick (coll.)"
אֲדִיקוּת,adikut,"['א', 'ד', 'ק']",Noun,feminine,"devotion, fervour, piety"
אָדוּק,aduk,"['א', 'ד', 'ק']",Adjective,katul pattern,"devout, fervent, fanatical, religious"
נֶאְדָּר,ne'edar,"['א', 'ד', 'ר']",Adjective,niktal pattern,"great, exalted, splendid, magnificient"
אַדִּיר,adir,"['א', 'ד', 'ר']",Adjective,kattil pattern,"great, mighty, powerful"
אַדְרִיכָל,adrichal,[],Noun,architect,
אָדִישׁ,adish,"['א', 'ד', 'ש']",Adjective,katil pattern,"apathetic, indifferent; inert (chemistry)"
לֶאֱהוֹב,le'ehov,"['א', 'ה', 'ב']",Verb,pa'al,to love
לְהִתְאַהֵב,lehit'ahev,"['א', 'ה', 'ב']",Verb,hitpa'el,to fall in love (with) (ב-)
הִתְאַהֲבוּת,hit'ahavut,"['א', 'ה', 'ב']",Noun,"hitkattlut pattern, feminine","infatuation, falling in love, crush"
אַהֲבָה,ahava,"['א', 'ה', 'ב']",Noun,"katla pattern, feminine",love
אָהוּב,ahuv,"['א', 'ה', 'ב']",Adjective,katul pattern,"beloved, loved"
מְאוֹהָב,me'ohav,"['א', 'ה', 'ב']",Adjective,mekuttal pattern,in love with (ב־)
לְהֵיאָהֵב,lehe'ahev,"['א', 'ה', 'ב']",Verb,nif'al,to be loved
אַהְבַּל,ahbal,[],Noun,"fool, idiot (slang)",
אוֹהֵד,ohed,"['א', 'ה', 'ד']",Noun,"kotel pattern, masculine","fan (sports), supporter"
לֶאֱהוֹד,le'ehod,"['א', 'ה', 'ד']",Verb,pa'al,"to sympathise (את), to support a sports team"
לֶאֱהוֹהַּ,le'ehoa(h),"['א', 'ה', 'ה']",Verb,pa'al,"to wail, to howl (rare)"
אוֹהֶל,ohel,"['א', 'ה', 'ל']",Noun,"kotel pattern, masculine",tent
אוֹ,o,[],Conjunction,or,
אוֹבְדָן,ovdan,[],Noun,"loss, ruin",
אוֹבְדָנִי,ovdani,[],Adjective,suicidal,
אוֹבְּסֶסִיבִי,obsesivi,[],Adjective,obsessive,
אוֹדוֹת,odot,[],Preposition,"about, with regard to, concerning",
אֲווָז,avaz,[],Noun,masculine,goose
אֲווִיר,avir,[],Noun,masculine,air
אֲווִירוֹן,aviron,[],Noun,masculine,"airplane, aircraft"
לְהָאִיט,leha'it,"['א', 'ו', 'ט']",Verb,hif'il,to slow down
אוֹטוֹ,oto,[],Noun,masculine,🚗 automobile (coll.)
אוֹטוֹבּוּס,otobus,[],Noun,masculine,"🚌 bus, coach"
תַּאֲווָה,ta'ava,"['א', 'ו', 'ה']",Noun,"taktela pattern, feminine","lust, desire, passion"
לְאַוּוֹת,le'avot,"['א', 'ו', 'ה']",Verb,pi'el,"to desire, to want (archaic)"
אוֹי,oy,[],Interjection,"oh, ah, oh my, ouch, alas",
לְהִתְאַוּוֹת,lehit'avot,"['א', 'ו', 'ה']",Verb,hitpa'el,"to crave, to yearn for, to lust (lit.) (ל-)"
אוּכְלוּסִיָּה,uchlusiya,[],Noun,feminine,population
אוּכְמָנִית,uchmanit,[],Noun,feminine,blueberry
אֱווִיל,evil,"['א', 'ו', 'ל']",Noun,"fool, stupid person (lit.)",
אִיווֶּלֶת,ivelet,"['א', 'ו', 'ל']",Noun,"kittelet pattern, feminine","stupidity, foolishness"
אוּלַי,ulay,[],Adverb,"maybe, perhaps",
אוּלָם,ulam,[],Adverb,"however, but, nevertheless",
אוּלָם,ulam,[],Noun,masculine,"hall, vestibule"
אוּלְפָּן,ulpan,[],Noun,masculine,"studio (recording, TV, radio); ulpan, intensive Hebrew school"
אוֹמָּנוּת לְחִימָה,omanut lechima,[],Noun,martial art,
אוֹן,on,[],Noun,masculine,"power, strength, vitality (lit.)"
אוּנִיבֶרְסִיטָה,universita,[],Noun,feminine,university
אוֹנִייָּה,oniya,[],Noun,feminine,"ship, boat, vessel"
אוֹפַנּוֹעַ,ofanoa,[],Noun,masculine,"🏍️ motorbike, motorcycle"
לָאוּץ,la'utz,"['א', 'ו', 'ץ']",Verb,pa'al,"to make haste, to hurry"
לְהָאִיץ,leha'itz,"['א', 'ו', 'ץ']",Verb,hif'il,"to urge, to speed up"
תְּאוּצָה,te'utza,"['א', 'ו', 'ץ']",Noun,"tkula pattern, feminine",acceleration
אָצָן,atzan,"['א', 'ו', 'ץ']",Noun,masculine,sprinter (sports)
אוֹצַר מִילִּים,otzar milim,[],Noun,vocabulary,
אוֹקְייָנוֹס,okyanos,[],Noun,ocean,
לְהָאִיר,leha'ir,"['א', 'ו', 'ר']",Verb,hif'il,"to illuminate, to shine"
אוֹר,or,"['א', 'ו', 'ר']",Noun,masculine,light
מוּאָר,mu'ar,"['א', 'ו', 'ר']",Adjective,muktal pattern,"illuminated, lighted"
תְּאוּרָה,te'ura,"['א', 'ו', 'ר']",Noun,"tkula pattern, feminine","lighting, illumination"
מְאוּרָה,me'ura,"['א', 'ו', 'ר']",Noun,"mekula pattern, feminine","den, lair, hole"
מָאוֹר,ma'or,"['א', 'ו', 'ר']",Noun,"miktal pattern, masculine","celestial body, star (biblical); lighting; brightness, glow"
אוֹרְייָנ,oryan,[],Adverb,knowledge (aramaic) (rare),
אוֹרְייָנוּת,oryanut,[],Noun,"literacy, language skills; erudition",
אוֹרְייָנִי,oryani,[],Adjective,"literate, erudite, lettered",
לְאַווְרֵר,le'avrer,"['א', 'ו', 'ר', 'ר']",Verb,pi'el,"to ventilate, to aerate"
לְהִתְאַווְרֵר,lehit'avrer,"['א', 'ו', 'ר', 'ר']",Verb,hitpa'el,"to be ventilated, to take a fresh air"
אִיווְרוּר,ivrur,"['א', 'ו', 'ר', 'ר']",Noun,"kittul pattern, masculine","ventilation, airing"
מְאַווְרֵר,me'avrer,"['א', 'ו', 'ר', 'ר']",Noun,"mekattel pattern, masculine","ventilator, fan"
לְאַווְשֵׁשׁ,le'avshesh,"['א', 'ו', 'ש', 'ש']",Verb,pi'el,"to rustle, to murmur (lit.)"
אִיווְשׁוּשׁ,ivshush,"['א', 'ו', 'ש', 'ש']",Noun,"kittul pattern, masculine","rustle, murmur (lit.)"
לְהֵיאוֹת,lehe'ot,"['א', 'ו', 'ת']",Verb,nif'al,"to agree, to consent, to be proper"
לְאוֹתֵת,le'otet,"['א', 'ו', 'ת']",Verb,pi'el,"to signal, to beacon"
אוֹת,ot,"['א', 'ו', 'ת']",Noun,feminine,letter (of an alphabet)
אוֹת,ot,"['א', 'ו', 'ת']",Noun,masculine,"signal, sign; badge, medal; omen, indication"
אָז,az,[],Conjunction,then; in that case; so,
לְאַזְכֵּר,le'azker,"['א', 'ז', 'כ', 'ר']",Verb,pi'el,"to mention, to cite, to make reference to"
אִיזְכּוּר,izkur,"['א', 'ז', 'כ', 'ר']",Noun,"kittul pattern, masculine","reference, mention, quotation, citation"
לֶאֱזוֹל,le'ezol,"['א', 'ז', 'ל']",Verb,pa'al,"to run out, to cease, to be exhausted"
אִזְמֵל,izmel,[],Noun,masculine,chisel; scalpel
לְהַאֲזִין,leha'azin,"['א', 'ז', 'ן']",Verb,hif'il,"to listen (music, radio), to heed"
לְהִתְאַזֵּן,lehit'azen,"['א', 'ז', 'ן']",Verb,hitpa'el,"to balance, to be balanced"
אִיזּוּן,izun,"['א', 'ז', 'ן']",Noun,"kittul pattern, masculine","balance, equilibrium"
אוֹזֶן,ozen,"['א', 'ז', 'ן']",Noun,"kotel pattern, feminine",ear (anatomy)
הַאֲזָנָה,ha'azana,"['א', 'ז', 'ן']",Noun,"haktala pattern, feminine",listening
לְאַזֵּן,le'azen,"['א', 'ז', 'ן']",Verb,pi'el,"to balance, to offset"
אוֹזְנִית,oznit,"['א', 'ז', 'ן']",Noun,feminine,"earphone, headphone, earbud"
לֶאֱזוֹק,le'ezok,"['א', 'ז', 'ק']",Verb,pa'al,"to handcuff, to bind with handcuffs (את)"
אֲזִיקִּים,azikim,"['א', 'ז', 'ק']",Noun,masculine,handcuffs
אָזִיק,azik,"['א', 'ז', 'ק']",Noun,"katil pattern, masculine",handcuff (אזיקים: handcuffs)
אֲזִיקוֹן,azikon,"['א', 'ז', 'ק']",Noun,masculine,restraint (plastic or nylon); cable tie
לְהִתְאַזֵּר,lehit'azer,"['א', 'ז', 'ר']",Verb,hitpa'el,"to gird oneself, to girdle"
אֵזוֹר,ezor,"['א', 'ז', 'ר']",Noun,"zone, region, area",
לֶאֱזוֹר,le'ezor,"['א', 'ז', 'ר']",Verb,pa'al,"to gird, to put on (a belt)"
אֱזוֹרִי,ezori,"['א', 'ז', 'ר']",Adjective,regional,
לְהִתְאַזְרֵחַ,lehit'azreach,"['א', 'ז', 'ר', 'ח']",Verb,hitpa'el,"to become a citizen, to naturalise"
אֶזְרָח,ezrach,[],Noun,citizen; civilian,
אֶזְרָחִי,ezrachi,[],Adjective,"civilian, civil (law)",
אָח,ach,[],Noun,masculine,brother
אָח,ach,[],Noun,feminine,"fireplace, hearth"
לְהִתְאַחֵד,lehit'ached,"['א', 'ח', 'ד']",Verb,hitpa'el,"to be united, to unite (with)"
הִתְאַחֲדוּת,hit'achadut,"['א', 'ח', 'ד']",Noun,"hitkattlut pattern, feminine","association, federation; unification"
אַחְדוּת,achdut,"['א', 'ח', 'ד']",Noun,"katlut pattern, feminine","unity, unification"
אִיחוּד,ichud,"['א', 'ח', 'ד']",Noun,"kittul pattern, masculine","unity, unification"
אָחִיד,achid,"['א', 'ח', 'ד']",Adjective,katil pattern,"homogeneous, uniform; standard, constant"
לְהַאֲחִיד,leha'achid,"['א', 'ח', 'ד']",Verb,hif'il,"to unify, to coalesce"
מְאוּחָד,me'uchad,"['א', 'ח', 'ד']",Adjective,mekuttal pattern,united
הַאֲחָדָה,ha'achada,"['א', 'ח', 'ד']",Noun,"haktala pattern, feminine","unification, coalescence"
לְאַחֵד,le'ached,"['א', 'ח', 'ד']",Verb,pi'el,to unite
אֶחָד,echad,"['א', 'ח', 'ד']",Cardinal numeral,one,
אַחֲווָה,achava,"['א', 'ח', 'ו']",Noun,"katla pattern, feminine","fraternity, comradeship, brotherhood, sisterhood"
אָחוּ,achu,"['א', 'ח', 'ו']",Noun,"ketel pattern, masculine","meadow, pasture, grazing land"
אָחוֹת,achot,[],Noun,feminine,sister
לֶאֱחוֹז,le'echoz,"['א', 'ח', 'ז']",Verb,pa'al,"to grip, to grasp, to hold (ב-)"
לְהֵיאָחֵז,lehe'achez,"['א', 'ח', 'ז']",Verb,nif'al,to hold on (ב-)
אֲחוּזָּה,achuza,"['א', 'ח', 'ז']",Noun,"ktulla pattern, feminine","estate; property, holdings"
אֲחִיזָה,achiza,"['א', 'ח', 'ז']",Noun,"ktila pattern, feminine","grasp, grip, hold, control; basis, support"
אָחוּז,achuz,"['א', 'ח', 'ז']",Noun,"katul pattern, masculine","percent, per cent"
לְאַחְזֵר,le'achzer,"['א', 'ח', 'ז', 'ר']",Verb,pi'el,to retrieve (computing)
לְהִתְאַחוֹת,lehit'achot,"['א', 'ח', 'ה']",Verb,hitpa'el,"to heal (fractured bones, damaged tissues); to be joined together"
לְאַחוֹת,le'achot,"['א', 'ח', 'ה']",Verb,pi'el,to stitch together; to unite (rare)
אַחְייָן,achyan,[],Noun,masculine,nephew
אַחְייָנִית,achyanit,[],Noun,feminine,niece
אִיחוּל,ichul,"['א', 'ח', 'ל']",Noun,"kittul pattern, masculine","wish, greeting"
לְאַחֵל,le'achel,"['א', 'ח', 'ל']",Verb,pi'el,"to wish, to congratulate"
אִיחְסוּן,ichsun,"['א', 'ח', 'ס', 'ן']",Noun,"kittul pattern, masculine",storage
לְאַחְסֵן,le'achsen,"['א', 'ח', 'ס', 'ן']",Verb,pi'el,to store
אַחְרָיוּת,achrayut,"['א', 'ח', 'ר']",Noun,feminine,"responsibility; warranty, guarantee"
אִיחוּר,ichur,"['א', 'ח', 'ר']",Noun,"kittul pattern, masculine","delay, tardiness, lateness, being late"
אָחוֹר,achor,"['א', 'ח', 'ר']",Noun,"katol pattern, masculine","back, rear part (lit.)"
אַחַר,achar,"['א', 'ח', 'ר']",Preposition,after,
אָחוֹרָה,achora,"['א', 'ח', 'ר']",Adverb,backwards,
אֲחוֹרַייִם,achorayim,"['א', 'ח', 'ר']",Noun,"katol pattern, masculine","buttocks, backside"
מֵאֲחוֹרֵי,me'achorei,"['א', 'ח', 'ר']",Preposition,katal pattern,behind
אַחֵר,acher,"['א', 'ח', 'ר']",Adjective,"other, another, different",
אַחֲרוֹן,acharon,"['א', 'ח', 'ר']",Adjective,last,
מְאוּחָר,me'uchar,"['א', 'ח', 'ר']",Adjective,mekuttal pattern,"late, later"
אַחְרַאי,achray,"['א', 'ח', 'ר']",Noun,responsible person,
אֲחוֹרִי,achori,"['א', 'ח', 'ר']",Adjective,"posterior, rear",
לְאַחֵר,le'acher,"['א', 'ח', 'ר']",Verb,pi'el,to be late
לְהִתְאַחֵר,lehit'acher,"['א', 'ח', 'ר']",Verb,hitpa'el,"to be late, to get late"
אַחֲרִית,acharit,"['א', 'ח', 'ר']",Noun,feminine,"end, close"
אַחְרָאִי,achra'i,"['א', 'ח', 'ר']",Adjective,responsible,
אֶטֶב,etev,"['א', 'ט', 'ב']",Noun,"ketel pattern, masculine","clothes peg, clothespin, clip"
אִיטִּי,iti,"['א', 'ט', 'ט']",Adjective,slow; prolonged,
אַט,at,"['א', 'ט', 'ט']",Adverb,slowly (lit.),
לְהָאֵט,leha'et,"['א', 'ט', 'ט']",Verb,hif'il,"to slow down, to retard"
אִטְלִיז,itliz,[],Noun,masculine,"butchery, butcher shop"
לֶאֱטוֹם,le'etom,"['א', 'ט', 'ם']",Verb,pa'al,"to seal, to close"
אֲטִימוּת,atimut,"['א', 'ט', 'ם']",Noun,feminine,"impermeability; opacity, opaqueness; inflexibility, unreceptiveness"
אִיטּוּם,itum,"['א', 'ט', 'ם']",Noun,"kittul pattern, masculine","sealing, waterproofing"
אָטוּם,atum,"['א', 'ט', 'ם']",Adjective,katul pattern,"sealed; opaque; blocked, clogged (coll.)"
לְהֵיאָטֵם,lehe'atem,"['א', 'ט', 'ם']",Verb,nif'al,"to be sealed, closed up"
אִטְרִיָּה,itriya,[],Noun,feminine,"noodle; (in plural) noodles, macaroni, vermicelli 🍝"
אִי,i,[],Noun,masculine,island
אוֹיֵב,oyev,"['א', 'י', 'ב']",Noun,"kotel pattern, masculine",enemy
אֵיבָה,eiva,"['א', 'י', 'ב']",Noun,"hatred, loathing",
אֵיבָר,eivar,[],Noun,masculine,"limb, organ; member, part"
הִתְאַייְּדוּת,hit'aydut,"['א', 'י', 'ד']",Noun,"hitkattlut pattern, feminine",evaporation
לְאַייֵּד,le'ayed,"['א', 'י', 'ד']",Verb,pi'el,"to vaporize, to evaporate"
אַיָּה,aya,[],Noun,feminine,"buzzard, Pernis (bird)"
אַיֵּה,aye,[],Adverb,where? (lit.),
אֵיזֶה,eize,[],Pronoun,"which? (masculine singular); some, certain",
אֵיזוֹ,eizo,[],Pronoun,"which? (feminine singular); some, certain",
אַייָּל,ayal,[],Noun,masculine,🦌 deer
אֵיךְ,eich,[],Adverb,katul pattern,how
אִיכָּא,ika,[],Particle,"there is, there exists (Aramaic, in expressions)",
אֵיכוּת,eichut,[],Noun,feminine,quality
אִיכְס,ichs,[],Interjection,"ugh!, yuck! (expression of disgust)",
אֵיכְשֶׁהוּ,eichshehu,[],Adverb,somehow,
אַיִל,ayil,"['א', 'י', 'ל']",Noun,"ketel pattern, masculine","🐏 ram (male sheep); mogul, tycoon"
אֱייָל,eyal,"['א', 'י', 'ל']",Noun,"power, strength, valour (lit.)",
אִילּוּ,ilu,[],Adverb,"if, if only",
אֵילוּ,eilu,[],Pronoun,"which? (plural); some, certain",
אִילָן,ilan,[],Noun,masculine,🌳 tree (lit.)
אֵים,em,[],Noun,feminine,mother
אִיּוּם,iyum,"['א', 'י', 'ם']",Noun,"kittul pattern, masculine","threat, menace"
לְאַייֵּם,le'ayem,"['א', 'י', 'ם']",Verb,pi'el,"to threaten, to menace (על)"
אֵימָה,eima,"['א', 'י', 'ם']",Noun,feminine,"terror, fear"
אָיוֹם,ayom,"['א', 'י', 'ם']",Adjective,katol pattern,"threatening, menacing; terrible, horrible"
אֵין,ein,[],–,there is not; is not,
לְאַייֵּן,le'ayen,"['א', 'י', 'ן']",Verb,pi'el,"to liquidate, to exterminate"
אִינְטֶרְנֶט,internet,[],Noun,masculine,internet
אֵינְסוֹף,einsof,[],Noun,masculine,infinity
אֵינְסוֹפִי,einsofi,[],Adjective,"infinite, endless",
אֵינְסְפוֹר,einsfor,[],Adverb,"myriad, countless",
אֵיפֹה,eifo,[],Adverb,where?,
אִיּוּר,iyur,"['א', 'י', 'ר']",Noun,"kittul pattern, masculine",illustration
לְאַייֵּר,le'ayer,"['א', 'י', 'ר']",Verb,pi'el,to illustrate
אֵירוֹפָּה,eiropa,[],Noun,feminine,Europe
אֵירוֹפִּי,eiropi,[],Adjective,European,
לְאַייֵּשׁ,le'ayesh,"['א', 'י', 'ש']",Verb,pi'el,"to man, to staff"
אִיּוּשׁ,iyush,"['א', 'י', 'ש']",Noun,"kittul pattern, masculine","manning, staffing"
אִישׁוֹן,ishon,[],Noun,masculine,pupil (eye)
לְאַייֵּת,le'ayet,"['א', 'י', 'ת']",Verb,pi'el,to spell (a word)
אִיּוּת,iyut,"['א', 'י', 'ת']",Noun,"kittul pattern, masculine",spelling
אֵיתָן,eitan,[],Adjective,"strong, stable, steadfast",
אֵיתָנוּת,eitanut,[],Adjective,"steadfastness, firmness",
אַךְ,ach,[],Conjunction,"but, yet, however",
לְהִתְאַכְזֵב,lehit'achzev,"['א', 'כ', 'ז', 'ב']",Verb,hitpa'el,to be disappointed
מְאוּכְזָב,me'uchzav,"['א', 'כ', 'ז', 'ב']",Adjective,mekuttal pattern,disappointed
לְאַכְזֵב,le'achzev,"['א', 'כ', 'ז', 'ב']",Verb,pi'el,"to disappoint, to let down"
